state,median_income,rent_to_income_ratio,gas_cpi,grocery_cpi,cost_burden_index
Alabama,62027.0,0.186,236.257,314.286,0.233
Alaska,89336.0,0.198,312.32,331.043,0.6443
Arizona,76872.0,0.228,312.32,331.043,0.745
Arkansas,58773.0,0.196,236.257,314.286,0.2666
California,96334.0,0.27,312.32,331.043,0.8859
Colorado,92470.0,0.189,312.32,331.043,0.6141
Connecticut,93760.0,0.243,260.957,319.676,0.5444
Delaware,82855.0,0.231,236.257,314.286,0.384
Florida,71711.0,0.26,236.257,314.286,0.4813
Georgia,74664.0,0.194,236.257,314.286,0.2598
Hawaii,98317.0,0.304,312.32,331.043,1.0
Idaho,74636.0,0.193,312.32,331.043,0.6275
Illinois,81702.0,0.16,248.817,296.429,0.0581
Indiana,70051.0,0.19,248.817,296.429,0.1587
Iowa,73147.0,0.164,248.817,296.429,0.0715
Kansas,72639.0,0.158,248.817,296.429,0.0513
Kentucky,62417.0,0.192,236.257,314.286,0.2531
Louisiana,60023.0,0.202,236.257,314.286,0.2867
Maine,71773.0,0.24,260.957,319.676,0.5343
Maryland,101652.0,0.197,236.257,314.286,0.2699
Massachusetts,101341.0,0.269,260.957,319.676,0.6316
Michigan,71149.0,0.193,248.817,296.429,0.1688
Minnesota,87556.0,0.155,248.817,296.429,0.0413
Mississippi,54915.0,0.206,236.257,314.286,0.3001
Missouri,68920.0,0.17,248.817,296.429,0.0916
Montana,69922.0,0.234,312.32,331.043,0.7651
Nebraska,74985.0,0.162,248.817,296.429,0.0648
Nevada,75561.0,0.232,312.32,331.043,0.7584
New Hampshire,95628.0,0.234,260.957,319.676,0.5142
New Jersey,101050.0,0.252,260.957,319.676,0.5746
New Mexico,62125.0,0.222,312.32,331.043,0.7248
New York,84578.0,0.227,260.957,319.676,0.4907
North Carolina,69904.0,0.206,236.257,314.286,0.3001
North Dakota,75949.0,0.155,248.817,296.429,0.0413
Ohio,69680.0,0.189,248.817,296.429,0.1554
Oklahoma,63603.0,0.188,236.257,314.286,0.2397
Oregon,80426.0,0.22,312.32,331.043,0.7181
Pennsylvania,76081.0,0.197,260.957,319.676,0.39
Rhode Island,86372.0,0.248,260.957,319.676,0.5612
South Carolina,66818.0,0.214,236.257,314.286,0.327
South Dakota,72421.0,0.167,248.817,296.429,0.0816
Tennessee,67097.0,0.201,236.257,314.286,0.2833
Texas,76292.0,0.184,236.257,314.286,0.2263
Utah,91750.0,0.176,312.32,331.043,0.5705
Vermont,78024.0,0.222,260.957,319.676,0.4739
Virginia,90974.0,0.18,236.257,314.286,0.2129
Washington,94952.0,0.193,312.32,331.043,0.6275
West Virginia,57917.0,0.201,236.257,314.286,0.2833
Wisconsin,75670.0,0.179,248.817,296.429,0.1218
Wyoming,74815.0,0.168,312.32,331.043,0.5436
